Input	Set	Question	Feedback
8	1	1	Relevant, Specific
8	1	2	Highly Relevant, Specific
8	1	3	Relevant, Moderately Specific
8	1	4	Highly Relevant, Specific
8	1	5	Relevant, Moderately Specific
8	1	6	Relevant, Specific
8	1	7	Highly Relevant, Specific
8	1	8	Highly Relevant, Specific
8	2	1	Moderately Relevant, Specific
8	2	2	Relevant, Moderately Specific
8	2	3	Highly Relevant, Specific
8	2	4	Relevant, Moderately Specific
8	2	5	Unrelated, Vague
8	2	6	Unrelated, Vague
8	2	7	Unrelated, Vague
8	2	8	Unrelated, Vague
